usage_date,service,model,project_id,requests,input_tokens,output_tokens,thinking_tokens,cost,errors
2026-05-22,Generative Language API,gemini-2.5-flash,summaries,5686,47719743,8375508,5025305,35.25,0
2026-05-23,Generative Language API,gemini-2.5-flash,summaries,4820,41128059,6676782,4006069,29.03,0
2026-05-24,Generative Language API,gemini-2.5-flash,summaries,9243,75938155,14852471,8911483,59.91,0
2026-05-25,Generative Language API,gemini-2.5-flash,summaries,8110,72242844,12392733,7435640,52.65,0
2026-05-26,Generative Language API,gemini-2.5-flash,summaries,8401,72166378,12222535,7333521,52.21,0
2026-05-27,Generative Language API,gemini-2.5-flash,summaries,7036,62841889,10599970,6359982,45.35,0
2026-05-28,Generative Language API,gemini-2.5-flash,summaries,6940,57447626,10122918,6073751,42.54,0
2026-05-29,Generative Language API,gemini-2.5-flash,summaries,3729,32388072,5637571,3382543,23.81,0
2026-05-30,Generative Language API,gemini-2.5-flash,summaries,3598,31060205,5338452,3203071,22.66,0
2026-05-31,Generative Language API,gemini-2.5-flash,summaries,5882,49819196,9302309,5581385,38.20,0
2026-06-01,Generative Language API,gemini-2.5-flash,summaries,5345,46767877,7727832,4636699,33.35,0
2026-06-02,Generative Language API,gemini-2.5-flash,summaries,4929,40538920,7017148,4210289,29.70,0
2026-06-03,Generative Language API,gemini-2.5-flash,summaries,6563,60679089,9530954,5718572,42.03,0
2026-06-04,Generative Language API,gemini-2.5-flash,summaries,5755,49632754,7959377,4775626,34.79,0
2026-06-05,Generative Language API,gemini-2.5-flash,summaries,4507,39201964,6890944,4134566,28.99,0
2026-06-06,Generative Language API,gemini-2.5-flash,summaries,4863,41726888,7457974,4474784,31.16,0
2026-06-07,Generative Language API,gemini-2.5-flash,summaries,24803,212926201,39359496,23615698,162.28,0
2026-06-08,Generative Language API,gemini-2.5-flash,summaries,9620,85981314,15106306,9063784,63.56,0
2026-06-09,Generative Language API,gemini-2.5-flash,summaries,9852,81327872,14066667,8440000,59.57,0
2026-06-10,Generative Language API,gemini-2.5-flash,summaries,8320,70548991,12612993,7567796,52.70,0
2026-06-11,Generative Language API,gemini-2.5-flash,summaries,9345,78367900,13824583,8294750,58.07,0
2026-06-12,Generative Language API,gemini-2.5-flash,summaries,5149,42998542,7712044,4627226,32.18,0
2026-06-13,Generative Language API,gemini-2.5-flash,summaries,4383,37405624,6402772,3841663,27.23,0
2026-06-14,Generative Language API,gemini-2.5-flash,summaries,6358,54117126,8847059,5308235,38.35,0
2026-06-15,Generative Language API,gemini-2.5-flash,summaries,6918,63758331,10994968,6596981,46.61,0
2026-05-17,Generative Language API,gemini-1.5-flash,classifier,95590,135261973,18180026,0,15.60,9559
2026-05-18,Generative Language API,gemini-1.5-flash,classifier,131506,212940484,24598792,0,23.35,13151
2026-05-19,Generative Language API,gemini-1.5-flash,classifier,111898,157945286,21031551,0,18.16,11190
2026-05-20,Generative Language API,gemini-1.5-flash,classifier,154625,246518264,26973796,0,26.58,15463
2026-05-21,Generative Language API,gemini-1.5-flash,classifier,122165,174043880,23413755,0,20.08,12216
2026-05-22,Generative Language API,gemini-1.5-flash,classifier,87881,139478102,15390120,0,15.08,8788
2026-05-23,Generative Language API,gemini-1.5-flash,classifier,74489,110741213,12343274,0,12.01,7449
2026-05-24,Generative Language API,gemini-1.5-flash,classifier,142844,217800356,24196285,0,23.59,14284
2026-05-25,Generative Language API,gemini-1.5-flash,classifier,125338,202729156,23642283,0,22.30,12534
2026-05-26,Generative Language API,gemini-1.5-flash,classifier,129828,189314756,23093058,0,21.13,12983
2026-05-27,Generative Language API,gemini-1.5-flash,classifier,108740,154583873,18336532,0,17.09,10874
2026-05-28,Generative Language API,gemini-1.5-flash,classifier,107251,170299429,20815945,0,19.02,10725
2026-05-29,Generative Language API,gemini-1.5-flash,classifier,57634,84011823,9772615,0,9.23,5763
2026-05-30,Generative Language API,gemini-1.5-flash,classifier,55607,79858969,10266470,0,9.07,5561
2026-05-31,Generative Language API,gemini-1.5-flash,classifier,90902,125636270,16208138,0,14.29,9090
2026-06-01,Generative Language API,gemini-1.5-flash,classifier,82603,123957803,15388907,0,13.91,8260
2026-06-02,Generative Language API,gemini-1.5-flash,classifier,76180,121598995,13602014,0,13.20,7618
2026-06-03,Generative Language API,gemini-1.5-flash,classifier,101435,152537316,16882469,0,16.51,10143
2026-06-04,Generative Language API,gemini-1.5-flash,classifier,88934,126841395,17119899,0,14.65,8893
2026-06-05,Generative Language API,gemini-1.5-flash,classifier,69657,111188758,11833029,0,11.89,6966
2026-06-06,Generative Language API,gemini-1.5-flash,classifier,75163,108606323,12708131,0,11.96,7516
2026-06-07,Generative Language API,gemini-1.5-flash,classifier,383315,602767931,72720109,0,67.02,38332
2026-06-08,Generative Language API,gemini-1.5-flash,classifier,148677,216843173,24639890,0,23.66,14868
2026-06-09,Generative Language API,gemini-1.5-flash,classifier,152259,241551901,26037822,0,25.93,15226
2026-06-10,Generative Language API,gemini-1.5-flash,classifier,128583,195152081,23278870,0,21.62,12858
2026-06-11,Generative Language API,gemini-1.5-flash,classifier,144423,206085564,24103822,0,22.69,14442
2026-06-12,Generative Language API,gemini-1.5-flash,classifier,79569,110831093,13395973,0,12.33,7957
2026-06-13,Generative Language API,gemini-1.5-flash,classifier,67730,108801073,12904962,0,12.03,6773
2026-06-14,Generative Language API,gemini-1.5-flash,classifier,98255,152656826,17323246,0,16.65,9826
2026-06-15,Generative Language API,gemini-1.5-flash,classifier,106916,148710261,18145370,0,16.60,10692
2026-05-17,Generative Language API,gemini-2.5-pro,rag-pipeline,2671,15330521,1761502,1056901,36.78,0
2026-05-18,Generative Language API,gemini-2.5-pro,rag-pipeline,3674,23090849,2479012,1487407,53.65,0
2026-05-19,Generative Language API,gemini-2.5-pro,rag-pipeline,3127,18191931,1946528,1167917,42.21,0
2026-05-20,Generative Language API,gemini-2.5-pro,rag-pipeline,4320,26940414,2613901,1568341,59.81,0
2026-05-21,Generative Language API,gemini-2.5-pro,rag-pipeline,3413,20268136,2102826,1261696,46.36,0
2026-05-22,Generative Language API,gemini-2.5-pro,rag-pipeline,2456,15298167,1576275,945765,34.89,0
2026-05-23,Generative Language API,gemini-2.5-pro,rag-pipeline,2081,12994374,1421371,852823,30.46,0
2026-05-24,Generative Language API,gemini-2.5-pro,rag-pipeline,3991,23342344,2517844,1510706,54.36,0
2026-05-25,Generative Language API,gemini-2.5-pro,rag-pipeline,3502,22530224,2407233,1444340,52.24,0
2026-05-26,Generative Language API,gemini-2.5-pro,rag-pipeline,3628,20550894,2209608,1325765,47.78,0
2026-05-27,Generative Language API,gemini-2.5-pro,rag-pipeline,3038,17104722,1917003,1150202,40.55,0
2026-05-28,Generative Language API,gemini-2.5-pro,rag-pipeline,2997,17537855,2021671,1213003,42.14,0
2026-05-29,Generative Language API,gemini-2.5-pro,rag-pipeline,1610,8965033,1024868,614921,21.45,0
2026-05-30,Generative Language API,gemini-2.5-pro,rag-pipeline,1554,9950017,971835,583101,22.16,0
2026-05-31,Generative Language API,gemini-2.5-pro,rag-pipeline,2540,14552364,1665326,999196,34.84,0
2026-06-01,Generative Language API,gemini-2.5-pro,rag-pipeline,2308,14258506,1552359,931415,33.35,0
2026-06-02,Generative Language API,gemini-2.5-pro,rag-pipeline,2129,12448227,1379261,827557,29.35,0
2026-06-03,Generative Language API,gemini-2.5-pro,rag-pipeline,2834,15728063,1737311,1042387,37.03,0
2026-06-04,Generative Language API,gemini-2.5-pro,rag-pipeline,2485,15141393,1500813,900488,33.93,0
2026-06-05,Generative Language API,gemini-2.5-pro,rag-pipeline,1946,10981269,1303069,781841,26.76,0
2026-06-06,Generative Language API,gemini-2.5-pro,rag-pipeline,2100,13159263,1449761,869857,30.95,0
2026-06-07,Generative Language API,gemini-2.5-pro,rag-pipeline,10710,68361917,6597694,3958616,151.43,0
2026-06-08,Generative Language API,gemini-2.5-pro,rag-pipeline,4154,26260866,2555265,1533159,58.38,0
2026-06-09,Generative Language API,gemini-2.5-pro,rag-pipeline,4254,27151808,2621002,1572601,60.15,0
2026-06-10,Generative Language API,gemini-2.5-pro,rag-pipeline,3593,22653181,2393109,1435865,52.25,0
2026-06-11,Generative Language API,gemini-2.5-pro,rag-pipeline,4035,26072231,2588706,1553224,58.48,0
2026-06-12,Generative Language API,gemini-2.5-pro,rag-pipeline,2223,12398185,1534146,920488,30.84,0
2026-06-13,Generative Language API,gemini-2.5-pro,rag-pipeline,1892,11442637,1179780,707868,26.10,0
2026-06-14,Generative Language API,gemini-2.5-pro,rag-pipeline,2745,15325672,1817702,1090621,37.33,0
2026-06-15,Generative Language API,gemini-2.5-pro,rag-pipeline,2987,17594820,1803608,1082165,40.03,0
2026-05-17,Generative Language API,gemini-1.5-pro,vision-api,1687,4893750,818350,0,10.21,0
2026-05-18,Generative Language API,gemini-1.5-pro,vision-api,2321,6780065,1206437,0,14.51,0
2026-05-19,Generative Language API,gemini-1.5-pro,vision-api,1975,5350761,909809,0,11.24,0
2026-05-20,Generative Language API,gemini-1.5-pro,vision-api,2729,7841399,1396582,0,16.78,0
2026-05-21,Generative Language API,gemini-1.5-pro,vision-api,2156,5911473,1003189,0,12.41,0
2026-05-22,Generative Language API,gemini-1.5-pro,vision-api,1551,4453947,775103,0,9.44,0
2026-05-23,Generative Language API,gemini-1.5-pro,vision-api,1315,3768222,685042,0,8.14,0
2026-05-24,Generative Language API,gemini-1.5-pro,vision-api,2521,6908475,1263336,0,14.95,0
2026-05-25,Generative Language API,gemini-1.5-pro,vision-api,2212,6662808,1152678,0,14.09,0
2026-05-26,Generative Language API,gemini-1.5-pro,vision-api,2291,6056852,1084252,0,12.99,0
2026-05-27,Generative Language API,gemini-1.5-pro,vision-api,1919,5674626,988191,0,12.03,0
2026-05-28,Generative Language API,gemini-1.5-pro,vision-api,1893,5112076,1012939,0,11.45,0
2026-05-29,Generative Language API,gemini-1.5-pro,vision-api,1017,2921214,476053,0,6.03,0
2026-05-30,Generative Language API,gemini-1.5-pro,vision-api,981,2947969,482190,0,6.10,0
2026-05-31,Generative Language API,gemini-1.5-pro,vision-api,1604,4822989,857071,0,10.31,0
2026-06-01,Generative Language API,gemini-1.5-pro,vision-api,1458,3860956,706654,0,8.36,0
2026-06-02,Generative Language API,gemini-1.5-pro,vision-api,1344,3682658,708660,0,8.15,0
2026-06-03,Generative Language API,gemini-1.5-pro,vision-api,1790,4692793,846721,0,10.10,0
2026-06-04,Generative Language API,gemini-1.5-pro,vision-api,1569,4303202,786109,0,9.31,0
2026-06-05,Generative Language API,gemini-1.5-pro,vision-api,1229,3615380,661454,0,7.83,0
2026-06-06,Generative Language API,gemini-1.5-pro,vision-api,1326,3541808,700049,0,7.93,0
2026-06-07,Generative Language API,gemini-1.5-pro,vision-api,6764,18957306,3557725,0,41.49,0
2026-06-08,Generative Language API,gemini-1.5-pro,vision-api,2624,7003873,1270545,0,15.11,0
2026-06-09,Generative Language API,gemini-1.5-pro,vision-api,2687,7298435,1265070,0,15.45,0
2026-06-10,Generative Language API,gemini-1.5-pro,vision-api,2269,6646194,1144582,0,14.03,0
2026-06-11,Generative Language API,gemini-1.5-pro,vision-api,2549,7580699,1193141,0,15.44,0
2026-06-12,Generative Language API,gemini-1.5-pro,vision-api,1404,4207107,681423,0,8.67,0
2026-06-13,Generative Language API,gemini-1.5-pro,vision-api,1195,3368832,578908,0,7.11,0
2026-06-14,Generative Language API,gemini-1.5-pro,vision-api,1734,4686135,822976,0,9.97,0
2026-06-15,Generative Language API,gemini-1.5-pro,vision-api,1887,4963084,960914,0,11.01,0
2026-05-17,Generative Language API,gemini-1.5-flash,autocomplete,146197,136974207,15420617,0,14.90,0
2026-05-18,Generative Language API,gemini-1.5-flash,autocomplete,201128,185800772,21373758,0,20.35,0
2026-05-19,Generative Language API,gemini-1.5-flash,autocomplete,171139,166032987,17599170,0,17.73,0
2026-05-20,Generative Language API,gemini-1.5-flash,autocomplete,236486,214901037,27596161,0,24.40,0
2026-05-21,Generative Language API,gemini-1.5-flash,autocomplete,186840,180773497,19608546,0,19.44,0
2026-05-22,Generative Language API,gemini-1.5-flash,autocomplete,134407,128329625,15518250,0,14.28,0
2026-05-23,Generative Language API,gemini-1.5-flash,autocomplete,113925,100799451,13151511,0,11.51,0
2026-05-24,Generative Language API,gemini-1.5-flash,autocomplete,218467,201722067,23603616,0,22.21,0
2026-05-25,Generative Language API,gemini-1.5-flash,autocomplete,191693,173346705,20111864,0,19.03,0
2026-05-26,Generative Language API,gemini-1.5-flash,autocomplete,198560,189826946,21854037,0,20.79,0
2026-05-27,Generative Language API,gemini-1.5-flash,autocomplete,166308,142352042,19556011,0,16.54,0
2026-05-28,Generative Language API,gemini-1.5-flash,autocomplete,164032,157153919,17287259,0,16.97,0
2026-05-29,Generative Language API,gemini-1.5-flash,autocomplete,88147,77083847,10080734,0,8.81,0
2026-05-30,Generative Language API,gemini-1.5-flash,autocomplete,85046,75016906,8916379,0,8.30,0
2026-05-31,Generative Language API,gemini-1.5-flash,autocomplete,139027,132252238,15214854,0,14.48,0
2026-06-01,Generative Language API,gemini-1.5-flash,autocomplete,126334,114052086,14229137,0,12.82,0
2026-06-02,Generative Language API,gemini-1.5-flash,autocomplete,116511,100331910,12790887,0,11.36,0
2026-06-03,Generative Language API,gemini-1.5-flash,autocomplete,155136,149966441,16678815,0,16.25,0
2026-06-04,Generative Language API,gemini-1.5-flash,autocomplete,136017,124960267,13885953,0,13.54,0
2026-06-05,Generative Language API,gemini-1.5-flash,autocomplete,106534,94000698,11543695,0,10.51,0
2026-06-06,Generative Language API,gemini-1.5-flash,autocomplete,114955,111334817,13648785,0,12.44,0
2026-06-07,Generative Language API,gemini-1.5-flash,autocomplete,586247,529602376,59564059,0,57.59,0
2026-06-08,Generative Language API,gemini-1.5-flash,autocomplete,227389,214099960,23584496,0,23.13,0
2026-06-09,Generative Language API,gemini-1.5-flash,autocomplete,232866,206390045,26742894,0,23.50,0
2026-06-10,Generative Language API,gemini-1.5-flash,autocomplete,196657,171225563,22317671,0,19.54,0
2026-06-11,Generative Language API,gemini-1.5-flash,autocomplete,220882,185134738,24521731,0,21.24,0
2026-06-12,Generative Language API,gemini-1.5-flash,autocomplete,121694,113474599,12674184,0,12.31,0
2026-06-13,Generative Language API,gemini-1.5-flash,autocomplete,103588,94900172,11752851,0,10.64,0
2026-06-14,Generative Language API,gemini-1.5-flash,autocomplete,150273,128108339,16461899,0,14.55,0
2026-06-15,Generative Language API,gemini-1.5-flash,autocomplete,163518,152784121,17088404,0,16.59,0
2026-05-17,Generative Language API,gemini-2.5-pro,default,1968,3887599,727783,436670,12.14,0
2026-05-18,Generative Language API,gemini-2.5-pro,default,2707,5705486,964112,578467,16.77,0
2026-05-19,Generative Language API,gemini-2.5-pro,default,2304,4904522,879357,527614,14.92,0
2026-05-20,Generative Language API,gemini-2.5-pro,default,3183,6484734,1222326,733396,20.33,0
2026-05-21,Generative Language API,gemini-2.5-pro,default,2515,5386013,886321,531793,15.60,0
2026-05-22,Generative Language API,gemini-2.5-pro,default,1809,3574663,653081,391849,11.00,0
2026-05-23,Generative Language API,gemini-2.5-pro,default,1534,3153856,534951,320971,9.29,0
2026-05-24,Generative Language API,gemini-2.5-pro,default,2941,5727003,1027895,616737,17.44,0
2026-05-25,Generative Language API,gemini-2.5-pro,default,2580,5497340,979066,587440,16.66,0
2026-05-26,Generative Language API,gemini-2.5-pro,default,2673,5743830,918350,551010,16.36,0
2026-05-27,Generative Language API,gemini-2.5-pro,default,2239,4660878,843020,505812,14.26,0
2026-05-28,Generative Language API,gemini-2.5-pro,default,2208,4637047,840508,504305,14.20,0
2026-05-29,Generative Language API,gemini-2.5-pro,default,1187,2499964,447323,268394,7.60,0
2026-05-30,Generative Language API,gemini-2.5-pro,default,1145,2217450,416359,249815,6.94,0
2026-05-31,Generative Language API,gemini-2.5-pro,default,1872,3946111,707629,424577,12.01,0
2026-06-01,Generative Language API,gemini-2.5-pro,default,1701,3723688,610864,366518,10.76,0
2026-06-02,Generative Language API,gemini-2.5-pro,default,1568,3513651,602455,361473,10.42,0
2026-06-03,Generative Language API,gemini-2.5-pro,default,2088,4473892,764281,458569,13.24,0
2026-06-04,Generative Language API,gemini-2.5-pro,default,1831,3655977,655147,393088,11.12,0
2026-06-05,Generative Language API,gemini-2.5-pro,default,1434,3085089,491173,294704,8.77,0
2026-06-06,Generative Language API,gemini-2.5-pro,default,1547,3077426,559058,335435,9.44,0
2026-06-07,Generative Language API,gemini-2.5-pro,default,7892,17026045,2772698,1663619,49.01,0
2026-06-08,Generative Language API,gemini-2.5-pro,default,3061,6628527,1102991,661795,19.32,0
2026-06-09,Generative Language API,gemini-2.5-pro,default,3135,6197878,1140858,684515,19.16,0
2026-06-10,Generative Language API,gemini-2.5-pro,default,2647,5266352,969034,581420,16.27,0
2026-06-11,Generative Language API,gemini-2.5-pro,default,2973,6086645,995278,597167,17.56,0
2026-06-12,Generative Language API,gemini-2.5-pro,default,1638,3574482,547787,328672,9.95,0
2026-06-13,Generative Language API,gemini-2.5-pro,default,1394,2896199,466932,280159,8.29,0
2026-06-14,Generative Language API,gemini-2.5-pro,default,2023,4232814,675116,405070,12.04,0
2026-06-15,Generative Language API,gemini-2.5-pro,default,2201,4347155,804570,482742,13.48,0
